ticket_id,text,priority_label
1001,agent every development say opportunity behavior discussion ago current practice nation determine operation speak according recently future choice whatever,Low
1002,behavior benefit suggest page movie win need stop peace technology,Low
1003,relate animal direction eye bag law street class decide environment view possible participant commercial,High
1004,left establish understand read successful simply director allow firm environment tree note responsibility defense material,Low
1005,central cause seat much section investment young catch management sense technology physical society instead life edge network wall quite,Low
1006,seem shoulder future fall citizen reveal seven medical blood personal success medical current several much single morning food,Low
1007,upon story film water beat magazine attorney campaign little near enter institution,Medium
1008,sense ready require human public health tonight easy ask network detail audience piece director town teacher audience draw democrat car number line six space,Low
1009,best issue interest level art rock song body,Medium
1010,movie cell contain leg space task better present music address unit support coach magazine,Medium
1011,total clearly able hospital unit size recent room situation product main couple often security arm,High
1012,system church whether bag control organization build three east organization people information north first end prove fire enter capital population,Medium
1013,upon act perform none beyond medium car give attention citizen street region particularly would account stage federal professional voice care break,Low
1014,choice example decision garden reach table measure begin interest everybody four capital woman,Critical
1015,necessary act away third tough strong old challenge among half value win together decide economic,Low
1016,sister image per choice upon thing agent say forward soon ten specific environment skin blue,Low
1017,develop staff least figure somebody dinner age foreign ten evidence political hundred former agree theory end oil worker although,Medium
1018,generation skill job worker break tonight job mind southern rather hair attorney professional form finish,High
1019,medical project recent never professor security community notice image fight decision size,Low
1020,let kind degree list top somebody exist professional people behavior pull different current agency,Low
1021,sure authority increase picture create recent manager sing despite sound receive,High
1022,newspaper true building property write wear partner rest interview trade knowledge city technology late seem,High
1023,miss phone ever back even floor music catch discus relationship ask imagine,Medium
1024,deal information toward accept goal send table well industry,Low
1025,today major event magazine home protect something right wonder move trade option base investment term anyone deep force,High
1026,sell story edge bank affect glass practice senior wear current perform draw list,High
1027,way let eight hard paper white responsibility blue agent find quality walk cup option store drug recent,Medium
1028,south someone american mouth product attention positive state black whether player stock religious,Medium
1029,safe whole establish space let stay focus early various everything let particular agreement surface consider great election evidence,Low
1030,might course drop new drive live republican large admit family reality fill ok list international former reflect even edge building court build,Low
1031,course school everybody operation executive beyond create dinner conference add move ever network recently call bill activity expect long future whole education,High
1032,state husband available picture chance none fight yes,Medium
1033,share paper difficult mission late kind figure perform participant science way debate enough ball dream necessary choose late order fact discus religious reflect author enough social operation sound cup,Medium
1034,different chance enter central arrive society organization keep light fight evening management ball always focus economy onto share start office several compare,Low
1035,trouble consider one play man four prove tax form really explain spend nearly lawyer fire follow wife ten stay ability thank left approach,Low
1036,performance material kind appear environment capital thing machine ahead picture son report nearly need behavior yeah tree,Low
1037,positive child usually factor strong woman necessary two second carry attorney significant take future skin,High
1038,executive fear land machine forward several lay focus country recently occur analysis seat relate specific history professional,Low
1039,manager already maybe opportunity treat address century wide light wide full realize,High
1040,system system teacher responsibility service along attention piece tv young better plant coach federal ahead food argue grow,Low
1041,include radio conference participant raise marriage central leave effect effort act source top quality,Critical
1042,kid generation onto police lead table blood occur offer yeah far within probably account ten sing wind treat,High
1043,simply discover soon despite couple pick tough position final almost half capital travel force indeed,Low
1044,skill theory hand maybe either station loss southern sound life away senior difficult put,Medium
1045,hand add mr lawyer pull public state wait board doctor agent foreign particular positive play less red power cause watch fight manage doctor mr home,Low
1046,onto risk pressure street past real describe know talk rate name within,Low
1047,huge couple business summer production politics others call north attention share debate spend similar small,Medium
1048,would music sometimes body address draw food,Medium
1049,appear score moment second live order later develop past road training probably leader article look husband make travel available ball,Medium
1050,assume every plan nature yes law painting reduce result democrat later direction fund law indeed fine fine effort well,Critical
1051,season news form improve wait institution outside goal,Medium
1052,defense prevent difference board suddenly happen several southern suddenly window stand party ago upon stop environment congress reflect finally go consider century price attorney scientist,High
1053,second democrat information game return since nothing apply senior anyone bank kitchen magazine kind event sense box involve,Low
1054,main project animal house account feeling deep face build market issue region matter street south author technology amount,High
1055,tv television office remember individual boy commercial way least ready gun join,Medium
1056,job hundred bad second single baby plan create simply road standard spring door chair culture,Medium
1057,set pretty concern significant senior service large north play person firm key light place someone option goal avoid later arm story baby ten talk past,Medium
1058,leg never social time last special painting may whatever late specific study mean common easy,High
1059,mission city health executive impact full behind question exist rich prevent four old center glass whose recognize hot remember next poor foreign campaign reflect water behavior provide meet adult final week game,Medium
1060,difficult case baby big also short capital heavy class story speak close join improve put know expect doctor dream whole six tough create question,Medium
1061,left example high month stage appear lose represent middle base evening town challenge join stage u increase,High
1062,history bank different five case expert stop receive serve light past town eight strong nature,Low
1063,institution simply business draw police performance student matter movie place drop century investment pas drive indicate professor,Low
1064,window attack moment medical write never hospital player wonder effect ground attack drop billion old series card good full poor store,Critical
1065,place specific simply leader fall analysis firm financial huge list already positive experience television answer pretty,Critical
1066,son join hundred keep wind many marriage mind song bad state nation fly bag fill owner international ready goal,Medium
1067,past police social arm provide message seek civil support question alone attack sing hand note check last know baby case happen fire,High
1068,whether ago control military trial simple region democrat partner really customer career available common require young specific,High
1069,remember nearly face feel church remember meeting building cut catch ago occur level work candidate assume huge,Medium
1070,improve important offer first avoid letter campaign stop necessary onto treat area buy check clearly follow remember way million exist bad cultural,Medium
1071,person pas behavior political child probably result painting successful stay agreement side enough short indicate police marriage phone politics southern image,Medium
1072,read citizen indeed less century technology floor write generation human set middle five letter environment easy anything war ten industry,Critical
1073,value return couple city level age war measure democrat good anything successful pull experience account blue care,Medium
1074,shake hand hundred crime network mean share evidence writer quite budget hour fund voice,Low
1075,husband american although require lead paper middle foreign party class wrong order medical meeting majority none staff happy purpose woman someone rise,High
1076,others enter pretty dinner anything lose modern return simple way body affect finish include data maybe particularly save artist catch debate foot production,Low
